category,sub_category,sales,profit,quantity
Technology,Phones,1706874,216717.00579999998,11870
Technology,Copiers,1509439,258567.54818,7454
Furniture,Chairs,1501682,140396.2675,12336
Furniture,Bookcases,1466559,161924.4195,8310
Office Supplies,Storage,1127124,108461.4898,16917
Office Supplies,Appliances,1011081,141680.5894,6078
Technology,Machines,779071,58867.873,4906
Furniture,Tables,757034,-64083.3887,3083
Technology,Accessories,749307,129626.3062,10946
Office Supplies,Binders,461952,72449.846,21429
Furniture,Furnishings,385609,46967.4255,11225
Office Supplies,Art,372163,57953.9109,16301
Office Supplies,Paper,244307,59207.6827,12822
Office Supplies,Supplies,243090,22583.2631,8543
Office Supplies,Envelopes,170926,29601.1163,8380
Office Supplies,Fasteners,83254,11525.4241,8390
Office Supplies,Labels,73433,15010.512,9322
