product_name,sales,profit,quantity,orders
Cubify CubeX 3D Printer Double Head Print,11100,-8879.9704,9,3
Lexmark MX611dhe Monochrome Laser Printer,16830,-4589.973,18,4
"Motorola Smart Phone, Cordless",38935,-4447.038,74,23
Cubify CubeX 3D Printer Triple Head Print,8000,-3839.9904,4,1
"Bevis Round Table, Adjustable Height",5655,-3649.8940000000002,22,5
"Bevis Computer Table, Fully Assembled",11176,-3509.5638,43,13
"Rogers Lockers, Blue",28215,-2893.4908,167,42
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9918,-2876.1156,27,5
"Bevis Wood Table, with Bottom Storage",11134,-2782.588,34,10
"Lesro Training Table, Rectangular",2712,-2581.2834000000003,25,5
"Barricks Conference Table, Rectangular",3664,-2487.9674999999997,10,3
"Bevis Conference Table, Fully Assembled",14885,-2443.0892999999996,26,8
"Lesro Round Table, Adjustable Height",3961,-2402.976,19,5
"Lesro Computer Table, Fully Assembled",7224,-2322.838,34,7
"Eldon Lockers, Blue",19254,-2181.0964,123,36
"Hoover Stove, White",32845,-2180.6257000000005,81,18
"Samsung Audio Dock, with Caller ID",7663,-2137.2242,67,20
"Hoover Stove, Silver",10316,-2093.0862,26,8
"Safco Library with Doors, Traditional",11999,-1972.9038,47,15
"Chromcraft Coffee Table, Fully Assembled",1226,-1960.696,19,4
"Bush Library with Doors, Pine",9028,-1949.6277,41,11
Bush Advantage Collection Racetrack Conference Table,9546,-1934.3976,33,7
"Barricks Conference Table, Adjustable Height",6425,-1924.852,14,5
"Hon Conference Table, Rectangular",7588,-1920.8505,19,6
"Barricks Round Table, Adjustable Height",3232,-1880.675,13,3
