region,sales,profit,orders,profit_margin_pct
Central,2822399,311403.98164,5249,11.033308247345609
South,1600960,140355.76618,3270,8.766975201129323
North,1248192,194597.95252,2356,15.590386136107265
Oceania,1100207,120089.11200000001,1744,10.915137969491196
Southeast Asia,884438,17852.328999999998,1517,2.0184941171681903
North Asia,848349,165578.421,1150,19.517724544969113
EMEA,806184,43897.971,2462,5.44515532434283
Africa,783776,88871.631,2232,11.33890690707549
Central Asia,752839,132480.187,1026,17.597412859854497
West,725514,108418.4489,1611,14.943674264039014
East,678834,91522.78,1401,13.482350618855271
Caribbean,324281,34571.32104,855,10.660914774531966
Canada,66932,17817.39,201,26.62013685531584
