country,state,sales,profit
Turkey,Istanbul,31041,-29033.7
Nigeria,Lagos,17188,-25922.511
United States,Texas,170187,-25729.3563
Pakistan,Punjab,46067,-17700.6
United States,Ohio,78253,-16971.3766
Turkey,Izmir,15165,-15729.804
United States,Pennsylvania,116522,-15559.9603
Honduras,Francisco Morazán,48061,-15007.416079999999
Panama,Panama,41504,-14978.49936
Sweden,Stockholm,21587,-13806.441
Turkey,Ankara,13188,-12788.55
Philippines,National Capital,149257,-12647.4795
United States,Illinois,80162,-12607.887
New Zealand,Auckland,43729,-10929.642
Nigeria,Kano,7950,-10916.211
Netherlands,North Brabant,15253,-10552.212
Honduras,Cortés,26201,-8830.166079999999
Nigeria,Kaduna,5810,-8613.438
Argentina,Buenos Aires,28577,-8567.88556
Brazil,Bahia,17593,-8085.64444
Netherlands,North Holland,15220,-7607.364
United States,North Carolina,55604,-7490.912200000001
Thailand,Bangkok,76045,-7124.8977
Netherlands,South Holland,14184,-6746.43
United States,Colorado,32110,-6527.8579
France,Midi-Pyrénées,34142,-6465.723
Portugal,Lisboa,10661,-6334.68
Australia,Australian Capital Territory,33160,-5755.95
Netherlands,Utrecht,10222,-5704.113
Nigeria,Rivers,3824,-5443.041
South Korea,Seoul,14304,-5368.959
United States,Tennessee,30662,-5341.6936
Nigeria,Oyo,2844,-4829.718
Ireland,Dublin,11071,-4672.701
Lithuania,Vilnius,3275,-4600.077
Turkey,Adana,5463,-3941.7
Turkey,Gaziantep,3515,-3900.276
Haiti,Ouest,9609,-3801.00436
Dominican Republic,Santo Domingo,78710,-3569.59656
Nigeria,Edo,2021,-3530.286
Brazil,Rio Grande do Norte,6966,-3470.32128
United States,Arizona,35283,-3427.9246
United States,Florida,89479,-3399.3017
Peru,Lima (city),11009,-3295.64736
France,Champagne-Ardenne,6051,-3090.5595
Honduras,Atlántida,8491,-3023.03092
Yemen,Ta'izz,2030,-2938.227
Venezuela,Distrito Capital,5648,-2930.8602
Turkey,Bursa,3386,-2865.336
Denmark,Hovedstaden,5223,-2843.763
Netherlands,Groningen,6405,-2796.18
South Korea,Daejeon,3260,-2748.66
Zimbabwe,Bulawayo,2083,-2706.627
Turkey,Mersin,2694,-2584.998
Panama,Chiriquí,7076,-2543.78112
Zimbabwe,Harare,1565,-2529.0
Ireland,Cork,4993,-2458.02
Philippines,Calabarzon,16390,-2406.975
Netherlands,Limburg,4630,-2384.9519999999998
Brazil,Minas Gerais,32653,-2369.11816
Nigeria,Enugu,1910,-2320.647
Netherlands,Gelderland,4771,-2312.325
Brazil,Ceará,10106,-2286.95316
Germany,Lower Saxony,56149,-2226.519
Nigeria,Delta,1181,-2165.439
Lithuania,Kaunas,1757,-2154.753
Netherlands,Overijssel,4298,-2117.0280000000002
Myanmar (Burma),Yangon,34144,-2109.2583
Nigeria,Kwara,1240,-2056.293
Venezuela,Carabobo,3752,-2045.68388
Honduras,Choluteca,5511,-2036.04088
Turkey,Antalya,2228,-2022.81
Vietnam,Thủ Dô Hà Nội,11052,-1991.5758
Nigeria,Cross River,1118,-1911.3809999999999
Pakistan,Sindh,5975,-1894.197
Lithuania,Panevezys,1473,-1881.657
Turkmenistan,Ashgabat,1138,-1859.454
Brazil,Santa Catarina,20525,-1847.7686
Kazakhstan,Pavlodar,1010,-1810.3110000000001
Dominican Republic,San Pedro de Macorís,8016,-1781.01064
Nigeria,Benue,1790,-1761.957
Uganda,Kampala,1152,-1753.557
Turkey,Kutahya,2516,-1722.9479999999999
Argentina,Provincia de Buenos Aires,3657,-1666.08116
Turkey,Balikesir,2066,-1642.8000000000002
Argentina,Santa Fe,5697,-1581.76
South Korea,Busan,2436,-1581.261
South Korea,Gyeonggi,7443,-1551.957
Pakistan,F.C.T.,2921,-1537.761
