product_name,sales,profit,quantity,orders
"Apple Smart Phone, Full Size",86936,5921.578600000001,171,51
"Cisco Smart Phone, Full Size",76441,17238.5206,139,38
"Motorola Smart Phone, Full Size",73159,17027.113,134,38
"Nokia Smart Phone, Full Size",71904,9938.1955,147,47
Canon imageCLASS 2200 Advanced Copier,61600,25199.928,20,5
"Hon Executive Leather Armchair, Adjustable",58200,5997.2541,169,49
"Office Star Executive Leather Armchair, Adjustable",50667,4710.984,141,45
"Harbour Creations Executive Leather Armchair, Adjustable",50120,10427.326,142,39
"Samsung Smart Phone, Cordless",48654,-198.08999999999992,108,25
"Nokia Smart Phone, with Caller ID",47880,9465.3257,96,24
